,,access,area,bridge,distance,est_width,from,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel,width,weight,net_type,from_int,to_int
25030594,301811064,private,,,11.226352,,25030594,service,,,,,yes,,,301811064,,,0.13471622400000002,walk,34,1788
301811064,25030594,private,,,11.226352,,301811064,service,,,,,yes,,,25030594,,,0.13471622400000002,walk,1788,34
301811064,301811086,private,,,62.798881,,301811064,service,,,,,yes,,,301811086,,,0.753586572,walk,1788,1790
301811086,301811064,private,,,62.798881,,301811086,service,,,,,yes,,,301811064,,,0.753586572,walk,1790,1788
301811086,25030601,private,,,6.647194,,301811086,service,,,,,yes,,,25030601,,,0.079766328,walk,1790,36
25030601,301811086,private,,,6.647194,,25030601,service,,,,,yes,,,301811086,,,0.079766328,walk,36,1790
991667720,992438248,,,,29.328063,,991667720,residential,,,40,Servin Maijan tie,,,,992438248,,,0.351936756,walk,3062,3092
992438248,991667720,,,,29.328063,,992438248,residential,,,40,Servin Maijan tie,,,,991667720,,,0.351936756,walk,3092,3062
992438248,25030680,,,,32.586504,,992438248,residential,,,40,Servin Maijan tie,,,,25030680,,,0.39103804799999997,walk,3092,46
25030680,992438248,,,,32.586504,,25030680,residential,,,40,Servin Maijan tie,,,,992438248,,,0.39103804799999997,walk,46,3092
25032003,297922350,,,,4.972581,,25032003,service,,,,Otakuja,,,,297922350,,,0.059670972,walk,60,1416
297922350,25032003,,,,4.972581,,297922350,service,,,,Otakuja,,,,25032003,,,0.059670972,walk,1416,60
297922350,297925918,,,,24.241852,,297922350,service,,,,Otakuja,,,,297925918,,,0.29090222400000004,walk,1416,1435
297925918,297922350,,,,24.241852,,297925918,service,,,,Otakuja,,,,297922350,,,0.29090222400000004,walk,1435,1416
297925918,4780526762,,,,20.487178,,297925918,service,,,,Otakuja,,,,4780526762,,,0.24584613600000002,walk,1435,5076
4780526762,297925918,,,,20.487178,,4780526762,service,,,,Otakuja,,,,297925918,,,0.24584613600000002,walk,5076,1435
4780526762,1703485005,,,,24.969944,,4780526762,service,,,,Otakuja,,,,1703485005,,,0.29963932800000004,walk,5076,3669
