id,x,y,id,net_type,old_node_id,id_int
130190,24.8287872,60.1879818,130190,walk,130190,1
131938,24.8387437,60.1802596,131938,walk,131938,2
131939,24.8429126,60.1807713,131939,walk,131939,3
131940,24.8463062,60.1811946,131940,walk,131940,4
131941,24.8490174,60.1815237,131941,walk,131941,5
131956,24.8550191,60.1828473,131956,walk,131956,6
131957,24.856422,60.1840021,131957,walk,131957,7
131979,24.8572126,60.1844258,131979,walk,131979,8
131980,24.858723,60.184861,131980,walk,131980,9
134888,24.8376015,60.1801221,134888,walk,134888,10
134891,24.8358526,60.1798965,134891,walk,134891,11
16200068,24.8346234,60.1876859,16200068,walk,16200068,12
17115171,24.8305606,60.1865191,17115171,walk,17115171,13
17115179,24.8308026,60.1865889,17115179,walk,17115179,14
19475502,24.8350633,60.1876736,19475502,walk,19475502,15
19475517,24.8381707,60.188749,19475517,walk,19475517,16
19475518,24.8382692,60.1889609,19475518,walk,19475518,17
19475524,24.8390377,60.1897958,19475524,walk,19475524,18
24556192,24.8581502,60.1853088,24556192,walk,24556192,19
24556195,24.8598728,60.1861339,24556195,walk,24556195,20
24556214,24.8530782,60.1840085,24556214,walk,24556214,21
24556217,24.8522248,60.1834915,24556217,walk,24556217,22
24556218,24.8520048,60.1832495,24556218,walk,24556218,23
24556222,24.8527793,60.1823297,24556222,walk,24556222,24
24556225,24.858088,60.1843325,24556225,walk,24556225,25
24556226,24.8588391,60.1842632,24556226,walk,24556226,26
24556227,24.8595585,60.1843474,24556227,walk,24556227,27
24556236,24.8578125,60.1837941,24556236,walk,24556236,28
24556246,24.8574448,60.1829937,24556246,walk,24556246,29
25030457,24.8289872,60.1881477,25030457,walk,25030457,30
25030539,24.8295179,60.1886796,25030539,walk,25030539,31
25030577,24.8326619,60.1901016,25030577,walk,25030577,32
25030586,24.834232,60.1890996,25030586,walk,25030586,33
25030594,24.8346132,60.1885638,25030594,walk,25030594,34
25030598,24.8347558,60.188319,25030598,walk,25030598,35
25030601,24.834849,60.187909,25030601,walk,25030601,36
25030629,24.83357,60.1871743,25030629,walk,25030629,37
25030644,24.8323496,60.1861326,25030644,walk,25030644,38
25030648,24.8317973,60.1858181,25030648,walk,25030648,39
25030654,24.8308437,60.184972,25030654,walk,25030654,40
25030656,24.8309151,60.1845228,25030656,walk,25030656,41
25030659,24.831102,60.1843327,25030659,walk,25030659,42
25030663,24.8314205,60.1841129,25030663,walk,25030663,43
25030666,24.8317098,60.1837133,25030666,walk,25030666,44
25030671,24.8315158,60.1831279,25030671,walk,25030671,45
25030680,24.8352053,60.1895279,25030680,walk,25030680,46
25030682,24.8358991,60.1899245,25030682,walk,25030682,47
