education,food,groceries,nightlife,x,y
1,0,0,0,-71.0912936,42.3623061
1,0,0,0,-71.0914481,42.3626295
1,0,0,0,-71.0730165,42.3235692
1,0,0,0,-71.0577382,42.3279259
1,0,0,0,-71.0784548,42.3307008
1,0,0,0,-71.093121,42.328767
1,0,0,0,-71.1068434,42.325913
1,0,0,0,-71.0772453,42.3535095
1,0,0,0,-71.0707256,42.336038
1,0,0,0,-71.0533691,42.3660949
1,0,0,0,-71.0690338,42.3482321
1,0,0,0,-71.060871,42.3216311
1,0,0,0,-71.0527511,42.3380578
1,0,0,0,-71.064924,42.3479909
1,0,0,0,-71.0505125,42.331295
1,0,0,0,-71.0846573,42.3679025
1,0,0,0,-71.0958126,42.3493209
1,0,0,0,-71.0839169,42.3405802
1,0,0,0,-71.0296633,42.3360441
1,0,0,0,-71.1017268,42.3215482
1,0,0,0,-71.0823993,42.3520811
1,0,0,0,-71.0779835,42.3506581
1,0,0,0,-71.0772106,42.3247078
1,0,0,0,-71.0608827,42.3812603
1,0,0,0,-71.0912466,42.3307579
1,0,0,0,-71.1004699,42.3333273
1,0,0,0,-71.1068434,42.325913
1,0,0,0,-71.033895,42.3752647
1,0,0,0,-71.0806862,42.3261956
1,0,0,0,-71.0708348,42.324475
1,0,0,0,-71.1114501,42.3281457
1,0,0,0,-71.1307368,42.3818619
1,0,0,0,-71.1051603,42.3276141
1,0,0,0,-71.0688472,42.3411015
1,0,0,0,-71.0400603,42.3715284
1,0,0,0,-71.1107354,42.3486564
1,0,0,0,-71.121019,42.3519864
1,0,0,0,-71.0302039,42.3320917
1,0,0,0,-71.1100492,42.3309702
1,0,0,0,-71.0720436,42.3582333
1,0,0,0,-71.0717155,42.3563955
1,0,0,0,-71.126739,42.3499083
1,0,0,0,-71.0685895,42.3409688
1,0,0,0,-71.1148759,42.3434087
1,0,0,0,-71.1057346,42.369517
1,0,0,0,-71.099189,42.3306376
1,0,0,0,-71.0528614,42.3638786
1,0,0,0,-71.0930283,42.347202
1,0,0,0,-71.0822185,42.3502899
1,0,0,0,-71.0595351,42.3203532
1,0,0,0,-71.1007189,42.36777
1,0,0,0,-71.0408733,42.3343501
1,0,0,0,-71.0931575,42.3473574
1,0,0,0,-71.0983567,42.332964
1,0,0,0,-71.0580501,42.3230248
1,0,0,0,-71.0781022,42.3523225
1,0,0,0,-71.1041057,42.3711006
0,0,1,0,-71.0652682,42.3263393
0,1,0,0,-71.0289882,42.3657216
0,1,0,1,-71.0982992,42.3808294
0,0,1,0,-71.098795,42.3810938
1,0,0,0,-71.0947743,42.3756526
1,0,0,0,-71.0992408,42.3852808
1,0,0,0,-71.1239418,42.3853745
1,0,0,0,-71.1131079,42.3475973
1,0,0,0,-71.0672737,42.3792638
1,0,0,0,-71.0369951,42.3792639
1,0,0,0,-71.1333862,42.3550972
1,0,0,0,-71.1300529,42.3750992
1,0,0,0,-71.1336642,42.3753746
1,0,0,0,-71.1244799,42.3816526
1,0,0,0,-71.1108856,42.3487084
1,0,0,0,-71.0656067,42.3573196
1,0,0,0,-71.067829,42.3592641
1,0,0,0,-71.0693496,42.3491921
1,0,0,0,-71.0675513,42.3653751
1,0,0,0,-71.06894,42.3484309
1,0,0,0,-71.0950519,42.3462086
1,0,0,0,-71.1047742,42.3339865
1,0,0,0,-71.1072381,42.3511035
1,0,0,0,-71.0730959,42.3550235
1,0,0,0,-71.0694957,42.3573196
1,0,0,0,-71.0544954,42.3642641
1,0,0,0,-71.0783848,42.3528752
1,0,0,0,-71.1292195,42.362597
1,0,0,0,-71.1246892,42.3766193
1,0,0,0,-71.073922,42.3553129
1,0,0,0,-71.1128303,42.3798191
1,0,0,0,-71.1219945,42.3662654
1,0,0,0,-71.0556065,42.3659307
1,0,0,0,-71.0644955,42.3520419
1,0,0,0,-71.122104,42.3715439
1,0,0,0,-71.0722735,42.3523197
1,0,0,0,-71.1228306,42.3787079
1,0,0,0,-71.0772736,42.3512086
1,0,0,0,-71.0867821,42.3518455
1,0,0,0,-71.0650512,42.3587085
1,0,0,0,-71.0811626,42.3514864
1,0,0,0,-71.1141841,42.371748
1,0,0,0,-71.0897739,42.3473197
1,0,0,0,-71.0658845,42.3595418
1,0,0,0,-71.1044968,42.3823191
1,0,0,0,-71.1157169,42.3712797
1,0,0,0,-71.0764402,42.3514864
1,0,0,0,-71.0772736,42.3514864
1,0,0,0,-71.0783846,42.32982
1,0,0,0,-71.0811624,42.3264867
1,0,0,0,-71.0528284,42.3384311
1,0,0,0,-71.0914404,42.3306533
1,0,0,0,-71.1056342,42.3218161
1,0,0,0,-71.0926822,42.3352895
1,0,0,0,-71.0733844,42.323709
1,0,0,0,-71.119526,42.3355863
1,0,0,0,-71.0983851,42.3339865
1,0,0,0,-71.0961,42.3493
1,0,0,0,-71.0718,42.3381
1,0,0,0,-71.0864,42.3346
1,0,0,0,-71.0878719,42.3309717
1,0,0,0,-71.0785,42.3307
1,0,0,0,-71.0931,42.3288
1,0,0,0,-71.0877,42.3236
1,0,0,0,-71.1044,42.3277
1,0,0,0,-71.0581,42.3205
1,0,0,0,-71.1063,42.3227
1,0,0,0,-71.0779,42.3388
1,0,0,0,-71.0688,42.3483
1,0,0,0,-71.1206751,42.3520682
1,0,0,0,-71.0691,42.3502
1,0,0,0,-71.1119,42.3242
1,0,0,0,-71.0708,42.3245
1,0,0,0,-71.0561,42.3425
1,0,0,0,-71.0708,42.3244
1,0,0,0,-71.0651289,42.3782399
1,0,0,0,-71.056,42.3425
1,0,0,0,-71.0568008,42.3573019
0,0,1,0,-71.0945289,42.359133
1,0,0,0,-71.1008853,42.3487085
1,0,0,0,-71.1224711,42.3757232
1,0,0,0,-71.1194583,42.3657277
1,0,0,0,-71.1193284,42.3702933
0,1,0,1,-71.0995636,42.3627042
0,0,0,1,-71.0652644,42.3436733
0,0,1,0,-71.064822,42.3432861
0,1,0,0,-71.0954669,42.379816
0,1,0,1,-71.0951499,42.3798036
0,1,0,1,-71.1001408,42.3737582
0,1,0,0,-71.0982075,42.3734909
0,1,0,0,-71.0998028,42.3734808
0,1,0,1,-71.0948071,42.3797605
0,1,0,0,-71.0785281,42.3362889
0,1,0,1,-71.0985916,42.3625591
0,0,0,1,-71.0984964,42.3624977
0,1,0,0,-71.1009966,42.3609802
0,1,0,0,-71.0999357,42.3635803
0,1,0,0,-71.1030009,42.3641739
