id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y
1,000000100033_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010024,3.0,,000000100033,U Steinstraße,hamburger_verkehrsverbund_(hvv),,10.0058763236,53.549036503348
2,000000100034_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010023,3.0,,000000100034,Spaldingstraße,hamburger_verkehrsverbund_(hvv),,10.010794816156,53.547135025114
3,000000100035_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010022,3.0,,000000100035,Lippeltstraße,hamburger_verkehrsverbund_(hvv),,10.015733976026,53.545484758559
4,000000100036_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010021,3.0,,000000100036,Nagelsweg,hamburger_verkehrsverbund_(hvv),,10.022963278881,53.543104855723
5,000000100047_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010021,3.0,,000000100047,Nagelsweg,hamburger_verkehrsverbund_(hvv),,10.020992731617,53.543966337594995
6,000000100048_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010022,3.0,,000000100048,Lippeltstraße,hamburger_verkehrsverbund_(hvv),,10.015733976026,53.545484758559
7,000000100049_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010023,3.0,,000000100049,Spaldingstraße,hamburger_verkehrsverbund_(hvv),,10.010794816156,53.547135025114
8,000000100050_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010024,3.0,,000000100050,U Steinstraße,hamburger_verkehrsverbund_(hvv),,10.006172685085,53.548809373389
9,000000100076_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010018,3.0,,000000100076,S Rothenburgsort,hamburger_verkehrsverbund_(hvv),,10.043484415987999,53.539620790838
10,000000100077_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010018,3.0,,000000100077,S Rothenburgsort,hamburger_verkehrsverbund_(hvv),,10.043441825363999,53.539728988205006
11,000000100163_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010044,3.0,,000000100163,Wendenstraße,hamburger_verkehrsverbund_(hvv),,10.028839468086,53.547160757160995
12,000000100164_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010039,3.0,,000000100164,Süderstraße,hamburger_verkehrsverbund_(hvv),,10.030186358273,53.545468878224
13,000000100166_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010031,3.0,,000000100166,Billstraße,hamburger_verkehrsverbund_(hvv),,10.032646601279,53.542419551808
14,000000100167_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010039,3.0,,000000100167,Süderstraße,hamburger_verkehrsverbund_(hvv),,10.030244488256,53.545998517925995
15,000000100168_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010044,3.0,,000000100168,Wendenstraße,hamburger_verkehrsverbund_(hvv),,10.029148342042001,53.54745461713
16,000000100181_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010040,3.0,,000000100181,Ausschläger Weg (Verkehrsamt),hamburger_verkehrsverbund_(hvv),,10.037397267982,53.54730243127499
17,000000100182_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010040,3.0,,000000100182,Ausschläger Weg (Verkehrsamt),hamburger_verkehrsverbund_(hvv),,10.039249606849001,53.546549532108
18,000000100183_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010032,3.0,,000000100183,Grüne Brücke,hamburger_verkehrsverbund_(hvv),,10.040761265811,53.543598136524
19,000000100184_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010033,3.0,,000000100184,Billstraße 133,hamburger_verkehrsverbund_(hvv),,10.047555189028,53.53892923792
20,000000100192_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010033,3.0,,000000100192,Billstraße 133,hamburger_verkehrsverbund_(hvv),,10.047555189028,53.53892923792
21,000000100193_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010032,3.0,,000000100193,Grüne Brücke,hamburger_verkehrsverbund_(hvv),,10.040761265811,53.543598136524
22,000000100194_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010040,3.0,,000000100194,Ausschläger Weg (Verkehrsamt),hamburger_verkehrsverbund_(hvv),,10.039231663625,53.547663883026
23,000000100195_hamburger_verkehrsverbund_(hvv),0.0,transit,000000010041,3.0,,000000100195,Luisenweg,hamburger_verkehrsverbund_(hvv),,10.046681581102,53.548146983108
24,000000110045_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011005,3.0,,000000110045,Michaeliskirche,hamburger_verkehrsverbund_(hvv),,9.978542175355,53.54923647517901
25,000000110047_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011005,3.0,,000000110047,Michaeliskirche,hamburger_verkehrsverbund_(hvv),,9.978542175355,53.54923647517901
26,000000110177_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011041,3.0,,000000110177,U Baumwall,hamburger_verkehrsverbund_(hvv),1.0,9.98134924969,53.544055841256
27,000000110178_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011041,3.0,,000000110178,U Baumwall,hamburger_verkehrsverbund_(hvv),1.0,9.981659645431,53.544430678806
28,000000110187_hamburger_verkehrsverbund_(hvv),0.0,transit,000000011046,3.0,,000000110187,Bei St.Annen,hamburger_verkehrsverbund_(hvv),,9.99723857473,53.545505740677
29,000000500013_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050006,3.0,,000000500013,Neuhöfer Straße (Ost),hamburger_verkehrsverbund_(hvv),,9.992113132518,53.510208694039
30,000000500016_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050007,3.0,,000000500016,Vogelhüttendeich,hamburger_verkehrsverbund_(hvv),,9.993468860965,53.515966089601
31,000000500017_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050008,3.0,,000000500017,Werkcentrum Elbinsel,hamburger_verkehrsverbund_(hvv),,10.000452479458,53.51995126726
32,000000500018_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050009,3.0,,000000500018,Harburger Chaussee,hamburger_verkehrsverbund_(hvv),,10.006834719583,53.520778229228
33,000000500019_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050008,3.0,,000000500019,Werkcentrum Elbinsel,hamburger_verkehrsverbund_(hvv),,9.998250782807,53.51993374128
34,000000500021_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050007,3.0,,000000500021,Vogelhüttendeich,hamburger_verkehrsverbund_(hvv),,9.993250416313,53.515006462584
35,000000500023_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050006,3.0,,000000500023,Neuhöfer Straße (Ost),hamburger_verkehrsverbund_(hvv),,9.992488802485,53.509513693281
36,000000500026_hamburger_verkehrsverbund_(hvv),0.0,transit,000000050014,3.0,,000000500026,Neuhöfer Straße (Mitte),hamburger_verkehrsverbund_(hvv),,9.982114969983,53.510677681806
