education,food,groceries,nightlife,x,y
0,1,0,0,10.2770653,53.5207517
0,1,0,0,10.1164404,53.6080733
0,1,0,0,10.0436269,53.5788725
0,1,0,1,9.8660342,53.5338482
0,1,0,0,9.8857026,53.5202193
0,0,1,0,9.8790636,53.5327177
0,0,1,0,10.0463285,53.57929
0,1,0,1,9.7805476,53.5371443
0,1,0,0,9.9363687,53.4896938
0,1,0,0,10.1847899,53.3986752
0,0,1,0,9.7930018,53.4653846
1,0,0,0,9.9249389,53.5955976
0,1,0,0,9.9030378,53.6067274
0,1,0,0,10.1639371,53.6498082
0,1,0,0,10.1642128,53.6476044
0,1,0,1,9.9694831,53.5468423
0,1,0,0,10.2517314,53.7058481
0,1,0,1,10.1431699,53.6963946
0,0,1,0,10.093545,53.546382
0,0,1,0,10.0866624,53.5540037
0,0,1,0,10.1056706,53.5418415
0,1,0,0,9.9055684,53.5805153
0,1,0,0,9.8541496,53.5484126
0,0,1,0,10.1860745,53.5090205
0,0,1,0,10.1906816,53.5047385
0,0,1,0,9.8308289,53.4719103
0,1,0,0,9.8848682,53.5808517
0,0,1,0,10.0091688,53.4982891
0,1,0,0,9.9815331,53.463016
0,0,1,0,9.9926366,53.5012467
0,1,0,0,9.9819218,53.4622644
0,0,1,0,10.0759806,53.5890181
0,0,1,0,10.1106026,53.6529137
0,1,0,0,9.8056906,53.5576061
0,1,0,0,10.2134134,53.4861811
0,0,1,0,9.8133718,53.5761024
0,0,1,0,10.125446,53.5867978
0,0,1,0,10.0231052,53.6289767
0,0,1,0,10.0563262,53.5691406
0,0,1,0,10.1034035,53.5813008
0,1,0,0,10.1040249,53.5394918
0,0,1,0,10.1114384,53.5395463
0,0,1,0,10.0590121,53.5850268
0,1,0,0,10.0633549,53.5817607
0,0,1,0,10.0637257,53.5813138
0,0,1,0,10.1006948,53.5974256
0,1,0,0,10.1429076,53.6696493
0,1,0,1,10.0629758,53.5795317
0,0,1,0,10.0673423,53.5820556
0,0,1,0,10.0586902,53.5942143
0,1,0,0,9.9810318,53.5505247
1,0,0,0,10.0218026,53.554989
0,1,0,1,10.0703317,53.5817211
0,1,0,1,10.0962153,53.5791813
0,0,1,0,10.0433901,53.5750045
0,0,1,0,10.0421407,53.5754213
0,0,1,0,10.0633401,53.5703703
0,1,0,0,10.0333115,53.5636292
0,1,0,0,10.0312569,53.5610317
0,1,0,0,10.0699098,53.5715814
0,1,0,0,10.0449119,53.5857798
0,1,0,0,10.0450945,53.5850016
0,0,0,1,10.1153859,53.5712359
0,1,0,0,9.8510433,53.6953737
0,1,0,0,9.879001,53.5355189
0,1,0,0,10.0769326,53.5700397
0,1,0,0,9.8472885,53.5749593
0,0,1,0,10.1236913,53.5713827
0,1,0,0,9.9569693,53.4458525
0,1,0,0,9.9274846,53.549477
0,1,0,0,9.9292942,53.5475906
0,1,0,1,9.9294904,53.5521434
0,1,0,0,9.9307274,53.5512302
0,1,0,1,9.9287814,53.5554919
0,1,0,1,9.9284008,53.5538147
0,1,0,1,9.9602864,53.561234
0,1,0,1,9.9606179,53.5610295
0,1,0,1,9.9630847,53.5623128
0,1,0,0,9.9630932,53.5609328
0,0,1,0,9.9541078,53.457258
0,0,1,0,9.9605685,53.5497227
0,0,1,0,9.9549942,53.5500511
0,0,1,0,9.9658498,53.5477452
0,0,1,0,9.9597393,53.5529553
1,0,0,0,9.9905466,53.6927053
0,0,1,0,10.098863,53.5745547
0,1,0,0,9.9056736,53.663847
0,0,1,0,10.0800273,53.5511122
0,0,1,0,9.9048609,53.615969
0,1,0,1,9.9287796,53.5545699
0,1,0,1,9.9073456,53.5661098
0,1,0,0,9.7385467,53.6603171
0,1,0,1,9.927173,53.551803
0,1,0,0,10.0415824,53.5351344
0,1,0,0,9.9183596,53.5706164
0,0,1,0,10.2025261,53.4990087
0,1,0,0,10.1977045,53.5012676
0,1,0,1,9.928227,53.5542278
0,1,0,1,9.9274966,53.5543814
0,1,0,1,9.9276234,53.5546275
0,1,0,0,9.8415381,53.5439736
0,1,0,0,9.8440744,53.5424727
0,1,0,0,9.8383286,53.5447527
0,1,0,0,9.8374524,53.5418369
0,1,0,0,9.8248547,53.5448273
0,0,1,0,10.0397656,53.578709
0,0,1,0,9.8375502,53.5448551
0,0,1,0,9.8540665,53.4696022
0,0,0,1,9.8590725,53.5349351
0,0,1,0,9.9876907,53.6723698
0,1,0,0,10.1930725,53.5028763
0,1,0,0,9.9916858,53.5557185
0,1,0,0,9.8631619,53.4717539
0,1,0,0,10.023296,53.5448054
0,1,0,0,10.0286441,53.5451203
0,1,0,0,10.2778372,53.469024
0,0,1,0,9.9442694,53.4479733
0,1,0,0,9.7969062,53.6624194
0,0,1,0,10.0749052,53.5511633
0,0,1,0,10.0554074,53.5471272
0,1,0,0,9.9809243,53.5514359
0,1,0,0,10.0895845,53.5447491
0,1,0,0,10.0435393,53.5966915
0,1,0,0,10.1176109,53.6496648
0,1,0,0,10.0428499,53.5977846
0,1,0,1,10.0440803,53.5952145
0,0,1,0,10.0444502,53.5943474
0,1,0,0,10.0914476,53.5330857
0,1,0,1,9.9612198,53.5623976
0,0,1,0,10.0209399,53.577566
0,0,1,0,10.0228276,53.57426
0,0,1,0,10.0238789,53.5734185
0,1,0,0,9.9675684,53.5610678
0,1,0,0,9.9645671,53.5589306
0,1,0,0,9.9634528,53.5624282
0,1,0,0,9.9648113,53.5617024
0,1,0,0,9.9301419,53.5536802
0,1,0,0,9.9634083,53.5598741
0,1,0,0,9.9645183,53.5593936
0,1,0,0,9.9639605,53.5597713
0,1,0,0,10.0399567,53.5466473
0,1,0,0,9.8012087,53.6605511
0,1,0,1,10.0268213,53.6496973
0,0,1,0,9.992474,53.5058814
0,1,0,0,10.3241986,53.6942525
0,1,0,0,10.07993,53.5013399
0,0,1,0,10.0647372,53.5537587
0,0,1,0,10.0603038,53.553942
0,0,1,0,10.0177036,53.5843464
0,0,1,0,10.0791722,53.5613291
0,1,0,0,10.0163515,53.4870244
0,1,0,0,9.9678368,53.4581325
0,0,0,1,9.9596394,53.5637568
0,1,0,1,9.9731542,53.4605606
0,1,0,0,9.9757022,53.4602015
0,0,1,0,9.9451848,53.5514167
0,1,0,0,10.0635049,53.5728594
0,0,1,0,10.025185,53.6125391
0,1,0,1,9.9621444,53.5459439
0,0,1,0,9.9843133,53.4516628
0,1,0,0,9.9894068,53.5553304
0,0,1,0,10.0248537,53.6124243
0,0,0,1,9.9988306,53.5155834
0,0,1,0,9.986871,53.565994
