"service_id","date","exception_type"
1,20190408,2
1,20190415,2
1,20190422,2
1,20190610,2
1,20190701,2
1,20190708,2
1,20190715,2
1,20190722,2
1,20190729,2
1,20190805,2
1,20191007,2
1,20191014,2
1,20190409,2
1,20190416,2
1,20190702,2
1,20190709,2
1,20190716,2
1,20190723,2
1,20190730,2
1,20190806,2
1,20191008,2
1,20191015,2
1,20190410,2
1,20190417,2
1,20190501,2
1,20190703,2
1,20190710,2
1,20190717,2
1,20190724,2
1,20190731,2
1,20190807,2
1,20191009,2
1,20191016,2
1,20190404,2
1,20190411,2
1,20190418,2
1,20190530,2
1,20190704,2
1,20190711,2
1,20190718,2
1,20190725,2
1,20190801,2
1,20190808,2
1,20191003,2
1,20191010,2
1,20191017,2
1,20191031,2
1,20190405,2
1,20190412,2
1,20190419,2
1,20190531,2
1,20190705,2
1,20190712,2
1,20190719,2
1,20190726,2
1,20190802,2
1,20190809,2
1,20191004,2
1,20191011,2
1,20191018,2
2,20190408,2
2,20190415,2
2,20190422,2
2,20190610,2
2,20190701,2
2,20190708,2
2,20190715,2
2,20190722,2
2,20190729,2
2,20190805,2
2,20191007,2
2,20191014,2
2,20190409,2
2,20190416,2
2,20190702,2
2,20190709,2
2,20190716,2
2,20190723,2
2,20190730,2
2,20190806,2
2,20191008,2
2,20191015,2
2,20190410,2
2,20190417,2
2,20190501,2
2,20190703,2
2,20190710,2
2,20190717,2
2,20190724,2
2,20190731,2
2,20190807,2
2,20191009,2
2,20191016,2
2,20190404,2
2,20190411,2
2,20190418,2
2,20190530,2
2,20190704,2
2,20190711,2
2,20190718,2
2,20190725,2
2,20190801,2
2,20190808,2
2,20191003,2
2,20191010,2
2,20191017,2
2,20191031,2
4,20190408,1
4,20190415,1
4,20190701,1
4,20190708,1
4,20190715,1
4,20190722,1
4,20190729,1
4,20190805,1
4,20191007,1
4,20191014,1
4,20190409,1
4,20190416,1
4,20190702,1
4,20190709,1
4,20190716,1
4,20190723,1
4,20190730,1
4,20190806,1
4,20191008,1
4,20191015,1
4,20190410,1
4,20190417,1
4,20190703,1
4,20190710,1
4,20190717,1
4,20190724,1
4,20190731,1
4,20190807,1
4,20191009,1
4,20191016,1
4,20190404,1
4,20190411,1
4,20190418,1
4,20190704,1
4,20190711,1
4,20190718,1
4,20190725,1
4,20190801,1
4,20190808,1
4,20191010,1
4,20191017,1
4,20190405,1
4,20190412,1
4,20190531,1
4,20190705,1
4,20190712,1
4,20190719,1
4,20190726,1
4,20190802,1
4,20190809,1
4,20191004,1
4,20191011,1
4,20191018,1
5,20190422,2
5,20190610,2
5,20190501,2
5,20190530,2
5,20191003,2
5,20191031,2
5,20190419,2
6,20190408,1
6,20190415,1
6,20190701,1
6,20190708,1
6,20190715,1
6,20190722,1
6,20190729,1
6,20190805,1
6,20191007,1
6,20191014,1
6,20190409,1
6,20190416,1
6,20190702,1
6,20190709,1
6,20190716,1
6,20190723,1
6,20190730,1
6,20190806,1
6,20191008,1
6,20191015,1
6,20190410,1
6,20190417,1
6,20190703,1
6,20190710,1
6,20190717,1
6,20190724,1
6,20190731,1
6,20190807,1
6,20191009,1
6,20191016,1
6,20190404,1
6,20190411,1
6,20190418,1
6,20190704,1
6,20190711,1
6,20190718,1
6,20190725,1
6,20190801,1
6,20190808,1
6,20191010,1
6,20191017,1
6,20190405,1
6,20190412,1
6,20190531,1
6,20190705,1
6,20190712,1
6,20190719,1
6,20190726,1
6,20190802,1
6,20190809,1
6,20191004,1
6,20191011,1
6,20191018,1
7,20190405,2
7,20190412,2
7,20190419,2
7,20190531,2
7,20190705,2
7,20190712,2
7,20190719,2
7,20190726,2
7,20190802,2
7,20190809,2
7,20191004,2
7,20191011,2
7,20191018,2
8,20190422,1
8,20190610,1
8,20190501,1
8,20190530,1
8,20191003,1
8,20191031,1
8,20190419,1
9,20190422,1
9,20190610,1
9,20190501,1
9,20190530,1
9,20191003,1
9,20191031,1
9,20190419,1
11,20190422,2
11,20190610,2
11,20190501,2
11,20190530,2
11,20191003,2
11,20191031,2
11,20190419,2
13,20190430,1
13,20190529,1
13,20191002,1
13,20191030,1
13,20190418,1
13,20190421,1
13,20190609,1
14,20190304,2
14,20190311,2
14,20190422,2
14,20190513,2
14,20190610,2
14,20190701,2
14,20190708,2
14,20190715,2
14,20190722,2
14,20190729,2
14,20190805,2
14,20191007,2
14,20191014,2
14,20190305,2
14,20190312,2
14,20190514,2
14,20190702,2
14,20190709,2
14,20190716,2
14,20190723,2
14,20190730,2
14,20190806,2
14,20191008,2
14,20191015,2
14,20190306,2
14,20190313,2
14,20190501,2
14,20190515,2
14,20190703,2
14,20190710,2
14,20190717,2
14,20190724,2
14,20190731,2
14,20190807,2
14,20191009,2
14,20191016,2
14,20190307,2
14,20190314,2
14,20190516,2
14,20190530,2
14,20190627,2
14,20190704,2
14,20190711,2
14,20190718,2
14,20190725,2
14,20190801,2
14,20191003,2
14,20191010,2
14,20191017,2
14,20191031,2
14,20190308,2
14,20190315,2
14,20190419,2
14,20190517,2
14,20190531,2
14,20190628,2
14,20190705,2
14,20190712,2
14,20190719,2
14,20190726,2
14,20190802,2
14,20191004,2
14,20191011,2
14,20191018,2
14,20191101,2
15,20190419,2
16,20190304,2
16,20190311,2
16,20190422,2
16,20190513,2
16,20190610,2
16,20190701,2
16,20190708,2
16,20190715,2
16,20190722,2
16,20190729,2
16,20190805,2
16,20191007,2
16,20191014,2
16,20190305,2
16,20190312,2
16,20190514,2
16,20190702,2
16,20190709,2
16,20190716,2
16,20190723,2
16,20190730,2
16,20190806,2
16,20191008,2
16,20191015,2
16,20190306,2
16,20190313,2
16,20190501,2
16,20190515,2
16,20190703,2
16,20190710,2
16,20190717,2
16,20190724,2
16,20190731,2
16,20190807,2
16,20191009,2
16,20191016,2
16,20190307,2
16,20190314,2
16,20190516,2
16,20190530,2
16,20190627,2
16,20190704,2
16,20190711,2
16,20190718,2
16,20190725,2
16,20190801,2
16,20191003,2
16,20191010,2
16,20191017,2
16,20191031,2
16,20190308,2
16,20190315,2
16,20190419,2
16,20190517,2
16,20190628,2
16,20190705,2
16,20190712,2
16,20190719,2
16,20190726,2
16,20190802,2
16,20191004,2
16,20191011,2
16,20191018,2
17,20190209,1
17,20190216,1
17,20190223,1
17,20190302,1
17,20190309,1
17,20190316,1
17,20190323,1
17,20190330,1
17,20191102,1
17,20191109,1
17,20191116,1
17,20191123,1
17,20191130,1
17,20191207,1
17,20191214,1
18,20191031,1
18,20190210,1
18,20190217,1
18,20190224,1
18,20190303,1
18,20190310,1
18,20190317,1
18,20190324,1
18,20191027,1
18,20191103,1
18,20191110,1
18,20191117,1
18,20191124,1
18,20191201,1
18,20191208,1
19,20190430,2
19,20190529,2
19,20191002,2
19,20191030,2
19,20190418,2
19,20190421,2
19,20190609,2
20,20190430,1
20,20190529,1
20,20191002,1
20,20191030,1
20,20190418,1
20,20190421,1
20,20190609,1
21,20190211,1
21,20190218,1
21,20190225,1
21,20190304,1
21,20190311,1
21,20190318,1
21,20190325,1
21,20191028,1
21,20191104,1
21,20191111,1
21,20191118,1
21,20191125,1
21,20191202,1
21,20191209,1
21,20190212,1
21,20190219,1
21,20190226,1
21,20190305,1
21,20190312,1
21,20190319,1
21,20190326,1
21,20191029,1
21,20191105,1
21,20191112,1
21,20191119,1
21,20191126,1
21,20191203,1
21,20191210,1
21,20190213,1
21,20190220,1
21,20190227,1
21,20190306,1
21,20190313,1
21,20190320,1
21,20190327,1
21,20191030,1
21,20191106,1
21,20191113,1
21,20191120,1
21,20191127,1
21,20191204,1
21,20191211,1
21,20190207,1
21,20190214,1
21,20190221,1
21,20190228,1
21,20190307,1
21,20190314,1
21,20190321,1
21,20190328,1
21,20191107,1
21,20191114,1
21,20191121,1
21,20191128,1
21,20191205,1
21,20191212,1
21,20190208,1
21,20190215,1
21,20190222,1
21,20190301,1
21,20190308,1
21,20190315,1
21,20190322,1
21,20190329,1
21,20191101,1
21,20191108,1
21,20191115,1
21,20191122,1
21,20191129,1
21,20191206,1
21,20191213,1
22,20190430,2
22,20190529,2
22,20191002,2
22,20191030,2
22,20190418,2
22,20190421,2
22,20190609,2
24,20190422,2
24,20190610,2
24,20190430,2
24,20190501,2
24,20190529,2
24,20191002,2
24,20191030,2
24,20190418,2
24,20190530,2
24,20191003,2
24,20191031,2
24,20190419,2
25,20190422,1
25,20190610,1
25,20190430,1
25,20190501,1
25,20190529,1
25,20191002,1
25,20191030,1
25,20190418,1
25,20190530,1
25,20191003,1
25,20191031,1
25,20190419,1
26,20190304,2
26,20190311,2
26,20190422,2
26,20190610,2
26,20190305,2
26,20190312,2
26,20190306,2
26,20190313,2
26,20190501,2
26,20190307,2
26,20190314,2
26,20190530,2
26,20191003,2
26,20191031,2
26,20190308,2
26,20190315,2
26,20190419,2
27,20190309,2
28,20190304,2
28,20190311,2
28,20190422,2
28,20190610,2
28,20190305,2
28,20190312,2
28,20190306,2
28,20190313,2
28,20190501,2
28,20190307,2
28,20190314,2
28,20190530,2
28,20191003,2
28,20191031,2
28,20190308,2
28,20190315,2
28,20190419,2
28,20190309,2
29,20190422,1
29,20190610,1
29,20190501,1
29,20190530,1
29,20191003,1
29,20191031,1
29,20190419,1
29,20190309,2
29,20190310,2
30,20190422,1
30,20190610,1
30,20190501,1
30,20190530,1
30,20191003,1
30,20191031,1
30,20190419,1
30,20190310,2
31,20190304,2
31,20190311,2
31,20190305,2
31,20190312,2
31,20190306,2
31,20190313,2
31,20190307,2
31,20190314,2
31,20190308,2
31,20190315,2
31,20190309,2
31,20190310,2
32,20190430,1
32,20190529,1
32,20191002,1
32,20191030,1
32,20190418,1
32,20190308,2
32,20190315,2
32,20190309,2
32,20190421,1
32,20190609,1
33,20190304,1
33,20190311,1
33,20190305,1
33,20190312,1
33,20190306,1
33,20190313,1
33,20190307,1
33,20190314,1
33,20190308,1
33,20190315,1
