"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
983_3,1,18012966,"Alt Erfrade","",0,,6,,
983_3,1,18012962,"Bornhöved, Adolfplatz","",0,,2,,
983_3,1,18012964,"Bornhöved, Adolfplatz","",0,,4,,
983_3,1,18012967,"Bornhöved, Schulen","",0,,7,,
983_3,1,18012968,"Bornhöved, Schulen","",0,,8,,
983_3,1,18012963,"Schmalensee, Damsdorfer Straße","",0,,1,,
983_3,1,18012965,"Tarbek","",0,,3,,
983_3,2,18012961,"Tarbek","",0,,5,,
6544_3,3,18011685,"Ascheb.Rathaus","",0,,28,,
6544_3,1,18011678,"Bornhöved, Adolfplatz","",0,,21,,
6544_3,3,18011677,"Bornhöved, Adolfplatz","",0,,22,,
6544_3,4,18011681,"Bornhöved, Adolfplatz","",0,,26,,
6544_3,5,18011680,"Bornhöved, Adolfplatz","",0,,26,,
6544_3,1,18011679,"Bornhöved, Adolfplatz","",0,,27,,
6544_3,1,18011682,"Bornhöved, Schulen","",0,,25,,
6544_3,1,18011684,"Kalübbe, Alte Schule","",0,,24,,
6544_3,1,18011683,"Wankendorf(Kreis Plön), Schule","",0,,23,,
6544_3,1,18011676,"Belau(PLÖ) Vierhusen","",1,,29,,
6544_3,1,18011675,"Plön, ZOB/Bahnhof","",1,,30,,
6544_3,6,18011673,"Plön, ZOB/Bahnhof","",1,,31,,
6544_3,3,18011674,"Plön, ZOB/Bahnhof","",1,,32,,
6544_3,1,18011672,"Plön, ZOB/Bahnhof","",1,,32,,
6544_3,5,18011671,"Plön, ZOB/Bahnhof","",1,,33,,
6555_3,1,18012971,"Bornhöved, Schulen","",0,,34,,
6555_3,1,18012969,"Rendswühren, B 430","",1,,35,,
6555_3,7,18012970,"Rendswühren, B 430","",1,,36,,
7271_3,1,17816903,"Bad Segeberg, Hallenbad","",0,,57,,
7271_3,1,17816871,"Bad Segeberg, Hamburger Straße(Möbel Kraft)","",0,,40,,
7271_3,1,17816900,"Bad Segeberg, Schule am Burgfeld","",0,,58,,
7271_3,1,17816901,"Bf. Bad Segeberg (ZOB)","",0,,37,,
7271_3,5,17816892,"Bf. Bad Segeberg (ZOB)","",0,,38,,
7271_3,3,17816891,"Bf. Bad Segeberg (ZOB)","",0,,38,,
7271_3,3,17816897,"Bf. Bad Segeberg (ZOB)","",0,,39,,
7271_3,5,17816889,"Bf. Bad Segeberg (ZOB)","",0,,39,,
7271_3,5,17816888,"Bf. Bad Segeberg (ZOB)","",0,,39,,
7271_3,1,17816865,"Bf. Bad Segeberg (ZOB)","",0,,41,,
7271_3,1,17816867,"Bf. Bad Segeberg (ZOB)","",0,,42,,
7271_3,1,17816868,"Bf. Bad Segeberg (ZOB)","",0,,42,,
7271_3,6,17816880,"Bf. Bad Segeberg (ZOB)","",0,,44,,
7271_3,4,17816879,"Bf. Bad Segeberg (ZOB)","",0,,44,,
7271_3,8,17816875,"Bf. Bad Segeberg (ZOB)","",0,,44,,
7271_3,9,17816874,"Bf. Bad Segeberg (ZOB)","",0,,44,,
7271_3,3,17816876,"Bf. Bad Segeberg (ZOB)","",0,,44,,
7271_3,5,17816866,"Bf. Bad Segeberg (ZOB)","",0,,44,,
7271_3,9,17816877,"Bf. Bad Segeberg (ZOB)","",0,,44,,
